tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-717,Orlando,Clay,32,A,20000501,1,102179,,,Antony Dupuis,R,185,FRA,27.18138261,113,351,102776,1,,Andrew Ilie,R,180,AUS,24.03559206,50,762,3-6 7-6(6) 7-6(4),3,R32,162,8,1,126,76,56,29,16,14,15,13,4,110,59,49,31,17,4,4
2000-717,Orlando,Clay,32,A,20000501,2,103602,,Q,Fernando Gonzalez,R,183,CHI,19.75633128,352,76,102821,,WC,Cecil Mamiit,R,173,PHI,23.84394251,139,280,6-2 7-5,3,R32,86,4,2,67,35,25,16,10,4,6,0,0,57,24,13,17,10,4,9
2000-717,Orlando,Clay,32,A,20000501,3,103387,,,Paradorn Srichaphan,R,185,THA,20.88158795,103,380,102205,,,Sebastien Lareau,R,183,CAN,27.01163587,133,293,6-1 6-3,3,R32,64,4,1,46,29,23,11,8,0,0,2,2,65,39,22,10,8,6,10
2000-717,Orlando,Clay,32,A,20000501,4,101733,,,Jan Siemerink,L,183,NED,30.04791239,107,371,102925,8,,Justin Gimelstob,R,196,USA,23.26078029,95,408,4-6 6-2 7-5,3,R32,150,8,6,109,56,43,21,15,9,12,4,6,104,57,35,24,15,6,11
2000-717,Orlando,Clay,32,A,20000501,5,101727,4,,Jason Stoltenberg,R,185,AUS,30.0752909,74,543,101826,,,Alex Lopez Moron,R,175,ESP,29.42368241,111,357,6-1 6-4,3,R32,60,3,0,50,27,22,16,9,1,1,0,3,47,28,17,10,8,3,6
2000-717,Orlando,Clay,32,A,20000501,6,103181,,,Jiri Vanek,R,185,CZE,22.02053388,92,429,101885,,,Wayne Arthurs,L,190,AUS,29.12251882,102,381,6-7(2) 6-4 6-3,3,R32,115,9,4,95,60,43,26,16,5,6,11,8,94,48,31,29,15,6,9
2000-717,Orlando,Clay,32,A,20000501,7,101675,,,Martin Rodriguez,R,178,ARG,30.36824093,120,322,102455,,,Lorenzo Manta,R,190,SUI,25.62354552,112,356,6-7(7) 7-6(2) 7-6(3),3,R32,171,4,11,148,65,54,43,18,9,12,5,5,126,70,45,36,18,3,6
2000-717,Orlando,Clay,32,A,20000501,8,102834,5,,Paul Goldstein,R,178,USA,23.73990418,79,516,101086,,,Ronald Agenor,R,180,USA,35.46338125,91,430,6-2 6-1,3,R32,66,1,1,42,23,19,13,8,0,0,0,0,42,25,9,10,7,3,7
2000-717,Orlando,Clay,32,A,20000501,9,103454,6,,Nicolas Massu,R,183,CHI,20.55852156,89,464,102133,,,Laurence Tieleman,R,180,ITA,27.46064339,97,404,6-2 6-3,3,R32,63,2,2,49,30,26,10,9,3,4,2,3,47,25,13,10,8,3,7
2000-717,Orlando,Clay,32,A,20000501,10,102466,,,Jan Kroslak,R,188,SVK,25.53867214,125,315,102966,,,Fredrik Jonsson,R,193,SWE,23.09377139,117,342,6-1 3-6 7-6(4),3,R32,123,7,2,83,55,42,14,14,3,6,3,2,102,62,43,14,14,9,13
2000-717,Orlando,Clay,32,A,20000501,11,103188,,WC,Michael Russell,R,173,USA,22.00136893,165,221,103204,,WC,Hugo Armando,R,183,USA,21.9301848,239,138,6-4 6-2,3,R32,76,1,4,56,36,26,11,9,2,3,2,1,52,27,16,12,9,0,4
2000-717,Orlando,Clay,32,A,20000501,12,101150,3,,Gianluca Pozzi,L,180,ITA,34.87200548,72,550,102880,,,Alexander Popp,R,201,GER,23.4880219,105,378,6-3 6-2,3,R32,69,1,3,56,26,20,18,9,3,4,2,2,52,35,18,8,8,3,7
2000-717,Orlando,Clay,32,A,20000501,13,103009,,Q,Razvan Sabau,R,185,ROU,22.86926762,205,160,102987,7,,Andre Sa,R,185,BRA,22.98699521,85,477,6-3 7-5,3,R32,98,4,1,69,50,37,9,11,4,5,3,5,74,32,23,18,10,7,10
2000-717,Orlando,Clay,32,A,20000501,14,103082,,,Markus Hantschk,R,188,GER,22.4476386,100,385,102720,,,Tomas Zib,R,178,CZE,24.24914442,110,363,4-6 6-4 6-4,3,R32,149,7,0,98,67,48,14,15,7,10,4,0,96,67,43,13,15,7,11
2000-717,Orlando,Clay,32,A,20000501,15,103598,,Q,Xavier Malisse,R,185,BEL,19.78370979,148,253,102233,,,Leander Paes,R,178,IND,26.87200548,138,282,6-3 6-2,3,R32,52,0,0,43,37,29,4,8,3,3,3,5,52,30,21,5,9,1,5
2000-717,Orlando,Clay,32,A,20000501,16,102887,,Q,Ramon Delgado,R,185,PAR,23.46064339,216,155,102998,2,,Jan Michael Gambill,R,190,USA,22.91033539,67,588,5-7 7-5 6-4,3,R32,144,5,3,106,66,52,17,17,1,4,15,5,112,59,47,22,17,8,12
2000-717,Orlando,Clay,32,A,20000501,17,103602,,Q,Fernando Gonzalez,R,183,CHI,19.75633128,352,76,102179,,,Antony Dupuis,R,185,FRA,27.18138261,113,351,7-5 7-6(4),3,R16,112,3,7,74,39,29,18,12,3,6,3,1,93,59,34,17,12,6,10
2000-717,Orlando,Clay,32,A,20000501,18,103387,,,Paradorn Srichaphan,R,185,THA,20.88158795,103,380,101733,,,Jan Siemerink,L,183,NED,30.04791239,107,371,7-5 6-3,3,R16,76,2,4,59,33,23,15,10,2,3,8,3,64,40,28,10,11,4,8
2000-717,Orlando,Clay,32,A,20000501,19,103181,,,Jiri Vanek,R,185,CZE,22.02053388,92,429,101727,4,,Jason Stoltenberg,R,185,AUS,30.0752909,74,543,7-6(6) 4-6 6-4,3,R16,151,3,2,110,66,49,20,16,5,8,13,3,113,66,50,22,16,9,12
2000-717,Orlando,Clay,32,A,20000501,20,101675,,,Martin Rodriguez,R,178,ARG,30.36824093,120,322,102834,5,,Paul Goldstein,R,178,USA,23.73990418,79,516,6-2 6-4,3,R16,68,9,1,43,25,20,10,9,0,2,1,3,57,39,21,6,9,1,6
2000-717,Orlando,Clay,32,A,20000501,21,103454,6,,Nicolas Massu,R,183,CHI,20.55852156,89,464,102466,,,Jan Kroslak,R,188,SVK,25.53867214,125,315,6-4 6-2,3,R16,72,7,0,48,34,28,9,9,0,0,3,3,63,38,24,12,9,5,8
2000-717,Orlando,Clay,32,A,20000501,22,101150,3,,Gianluca Pozzi,L,180,ITA,34.87200548,72,550,103188,,WC,Michael Russell,R,173,USA,22.00136893,165,221,6-7(4) 6-2 6-0,3,R16,135,5,1,80,39,33,27,13,3,3,1,2,94,68,39,14,13,8,13
2000-717,Orlando,Clay,32,A,20000501,23,103082,,,Markus Hantschk,R,188,GER,22.4476386,100,385,103009,,Q,Razvan Sabau,R,185,ROU,22.86926762,205,160,3-6 7-5 6-3,3,R16,136,12,4,92,59,47,12,15,2,4,7,2,96,64,44,16,15,7,10
2000-717,Orlando,Clay,32,A,20000501,24,102887,,Q,Ramon Delgado,R,185,PAR,23.46064339,216,155,103598,,Q,Xavier Malisse,R,185,BEL,19.78370979,148,253,7-5 6-4,3,R16,83,7,0,63,39,26,15,11,2,4,2,3,73,35,23,17,11,5,9
